lemma,cat
actinique,Adjectif
adipeux,Adjectif
an,Nom commun
antifébrile,Nom commun
arbre,Nom commun
bibition,Nom commun
boire,Verbe
bois,Nom commun
caprin,Adjectif
cardiaque,Adjectif
carnassier,Adjectif
caséeux,Adjectif
céleste,Adjectif
céphalaire,Adjectif
cérémonie,Nom commun
chaise,Nom commun
chat,Nom commun 1
chien,Nom commun
chthonien,Adjectif
ciel,Nom commun 1
comestible,Adjectif
corps,Nom commun
coturnisme,Nom commun
crustacé,Adjectif
dent,Nom commun
divitisme,Nom commun
eau,Nom commun
école,Nom commun
essai,Nom commun
évier,Nom commun
fabisme,Nom commun
fauteuil,Nom commun
feu,Nom commun
fin,Nom commun 1
foliacé,Adjectif
funiculaire,Adjectif
gibbeux,Adjectif
gigantesque,Adjectif
gravidisme,Nom commun
groupe,Nom commun
humain,Adjectif
igné,Adjectif
jour,Nom commun
kérosène,Nom commun
lactique,Adjectif
lait,Nom commun
lectrice,Nom commun
ligneux,Adjectif
lire,Verbe
locataire,Nom commun
main,Nom commun 1
malachite,Nom commun
manger,Verbe
marmoréen,Adjectif
mer,Nom commun
mois,Nom commun
mont,Nom commun
mot,Nom commun
myrmicéen,Adjectif
nez,Nom commun
nom,Nom commun
nord,Nom commun
nucléé,Adjectif
nutrition,Nom commun
oblation,Nom commun
oiseau,Nom commun
ordre,Nom commun
ovoïde,Adjectif
pain,Nom commun
pancalisme,Nom commun
patibulaire,Adjectif
pétré,Adjectif
phrase,Nom commun
pied,Nom commun
pierre,Nom commun
plage,Nom commun
polyadelphe,Adjectif
pomme,Nom commun
porte,Nom commun
potable,Adjectif
rare,Adjectif
région,Nom commun
rupestre,Adjectif
scolaire,Adjectif
sel,Nom commun
siège,Nom commun
sigillaire,Adjectif
strabisme,Nom commun
studieux,Adjectif
sud,Nom commun
table,Nom commun
tasse,Nom commun
terre,Nom commun
thalassique,Adjectif
thélite,Nom commun
trousse,Nom commun
vent,Nom commun
verbe,Nom commun
viaire,Adjectif
visible,Adjectif